reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,84,polyhedral core,yes,subcategory,"""Core bearing multiple blade scars. Generally cylindrical.""",na,na,no,no,explicit,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,89,residual core,yes,subcategory,"""An amorphous core without form, having the platform area exhausted. Bears scars denoting the removal of flakes or blades.""",na,na,no,no,explicit,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,93,tabular core,yes,subcategory,"""Core type resembling a tablet, generally bi-directional.""",na,na,no,no,explicit,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,97,unidirectional core,yes,subcategory,"""Core showing that flakes or blades were removed from one platform surface an in only one direction""",na,na,no,no,no,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,79,objective piece,yes,category,"""Lithic material being worked or formed by various techniques. Can be nodule, flake, blade, blank, preform, core uniface, biface or a permutation of object to completed form.""",na,broad,no,no,no,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,54-55,core,yes,category,"""Nucleus. A mass of material often pre-formed by the worker to the desired shape to allow the removal of a definite type of flake or blade. Piece of isotropic material bearing negative flake scars, or scar. Cores can be embryonic - such as a piece of natural, unprepared, raw material with scar or scars, reflecting the detachment of one or more flakes such as the Mexican polyhedral core. All flaked tool industries are represented by either flakes or cores.""",na,broad,no,implicit,no,explicit,explicit,ambiguous,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.",book,1972,79,nucleus,yes,category,"""The core. A central mass or a kernel. The part remaining after removal of excess material, or after flakes or blades have been detached. A core tool could be a nuclear artifact.""",na,broad,no,implicit,no,no,explicit,typological,global,"definition contains no explicit functional component, but other categories imply that there is one"
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73,core,yes,category,"""A core is any piece of stone from which flakes are removed. A core will only exhibit negative scars, and will never have a ventral surface or bulb of percussion, features exclusive to flakes and retouched flakes (Hiscock 1989; Hiscock and Mitchell 1993). A core will have one or more stirking platforms, which is a surface that receives the fracturing blow to detach a flake (Andresfky 2005).""","Andrefsky Jr., W. 2005 Lithics. Macroscopic approaches to analysis. Second. Cambridge, Cambridge University Press.

Hiscock, P. 1989 Artefact recording in the field. In J. Flood, I. Johnson, and S. Sullivan (eds), pp.20–38. Sites and bytes: recording Aboriginal places in Australia. Canberra, Australian Government Publishing Service.

Hiscock, P. and S. Mitchell 1993 Stone artefact quarries and reduction sites in Australia: towards a type profile. Canberra, Australian Heritage Commission.",narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73,unidirectional core,yes,subcategory,"""Unidirectional cores occur in various shapes, and all flakes are struck in the same direction from one striking platform.""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73,bidirectional core,yes,subcategory,"""Bidirectional cores have two opposing striking platforms that may or may not have be on the same face of the core.""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73,rotated core,yes,subcategory,"""Rotated cores have at least two striking platforms that are roughly perpendicular to each other; they may not be on the same face of the core.""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73-74,alternate platform core,yes,subcategory,"""Alternate platform cores have at least one bifacial striking platform where flakes are struck alternately from the edge; the flakes do not necessarily radiate around the entire core.""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,73-74,bipolar core,yes,subcategory,"""bipolar cores are placed on a flat hard surface or anvil while flakes are removed. Cores reduced using the bipolar technique exhibit a crushed surface opposite the direction of removals (Holdaway and Stern 2004: 12)""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",narrow,no,no,no,no,explicit,materialist,Western Australia,
"Cropper, D. and W.B. Law 2018 Research aims and methods. In D. Cropper and W.B. Law (eds), pp.53–90. Rockshelter excavations in the East Hamersley Range, Pilbara region, Western Australia. Oxford, Archaeopress Publishing Ltd.",chapter,2018,75,blade core,yes,subcategory,"""Cores used for deliberate blade production are characterised by negative flake scars that are twice as long as they are wide. """,na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Crosby, E. 1971 Suggestions for the re-evaluation of some Australian scraper types. Memoirs of the Queensland Museum 16(1):153–170.",paper,1971,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Crosby, E. 1971 Suggestions for the re-evaluation of some Australian scraper types. Memoirs of the Queensland Museum 16(1):153–170.",paper,1971,162,cliffed scraper,no,subcategory,"""Horsehoof implements (McCarthy, 1967, p. 18) may be taken as the 'textbook' type (fig. 5a, 6a). They were separated visually from the other tools and to them were added a group of implements similar in many respects but which lacked step-retouch on the edges. The group now corresponded to Mulvaney's core scrapers (Mulvaney and Joyce, 1965, p. 176).

Utilized edges on these tools range from 69° to 129° a result obtained by using a template former to make an edge profile, making it possible to measure the actual working edge without obstruction from projecting faces. This is important because a major characteristic of edges on these implements is that acute as well as obtuse angled edges become overhanging above the working edge. This is especially the case with step-retouched edges. It is interesting to note that many obtuse angled edges were not retouched. This overhanging of the edge is coupled with a considerable height-always at least as high as the width of the base and often up to twice this distance. Since all horsehoofs and core scrapers will balance on this base the face above the working edge might appropriately be described as 'cliffed'.

Working edges on cliffed scrapers have son1e other characteristics. Use-fracturing is unifacial or mainly unifacial directed from the base or platform up the overhanging face. Scalar and step retouch is always unifacial and is similarly directed, tending to increase the cliffed appearance. Amongst the scrapers step-retouching is confined to cliffed scrapers. Step retouch directed up the face of the tool is clearly different from the facetting on prepared platform cores, and from that on some tula adze flakes on which the step retouch runs from the face of the flake across the striking platform.""","McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. Sydney, Australian Museum Trust.

Mulvaney, D.J. and E.B. Joyce 1965 Archaeological and Geomorphological Investigations on Mt. Moffatt Station, Queensland, Australia. Proceedings of the Prehistoric Society 31:147–212.
",na,no,explicit,no,no,explicit,typological,Queensland,
"Crosby, E. 1971 Suggestions for the re-evaluation of some Australian scraper types. Memoirs of the Queensland Museum 16(1):153–170.",paper,1971,na,core scraper,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Crosby, E. 1971 Suggestions for the re-evaluation of some Australian scraper types. Memoirs of the Queensland Museum 16(1):153–170.",paper,1971,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Crouch, J. 2015 Small island, big swamp, Kuiku Pad Reef: Sarbi 4200-3500 cal BP, western Torres Strait. Quaternary International 385:88–101.",paper,2015,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Crouch, J., I.J. McNiven, B. David, C. Rowe, and M. Weisler 2007 Berberass: marine resource specialisation and environmental change in Torres Strait during the past 4000 years. Archaeology in Oceania 42(2):49–65.",paper,2007,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Crouch, J., I.J. McNiven, B. David, C. Rowe, and M. Weisler 2007 Berberass: marine resource specialisation and environmental change in Torres Strait during the past 4000 years. Archaeology in Oceania 42(2):49–65.",paper,2007,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,118,bipolar core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,118-119,lateral core,yes,subcategory,"""The fourth category of lateral cores are seen as the product of a specialized single platform reduction procedure using small flakes as cores, The artifacts are significantly more numerous in chert and have been described in the literature as burins (see Kamminga 1982, Mulvaney 1975:235) occurring in the upper assemblage only.

Their inclusion as cores in this discussion is required by the methodology and by the arguments presented by the writer (Cundy 1977) that examples of this artifact type in Australian assemblages are inconsistent with European examples and should be initially classified as specialized cores.""","Cundy, B.J. 1977 An analysis of burins from New England and Capertee. BA (Honours), Canberra, Australian National University.

Kamminga, J. 1978 Journey into the microcosms: a functional analysis of certain classes of prehistoric Australian stone tools. PhD, Sydney, University of Sydney.

Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",na,no,explicit,explicit,no,explicit,typological,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,115-117,primary core,yes,subcategory,"""In principle all chipped stone reduction is the removal of flakes from a core and may be defined as primary, secondary or tertiary etcetera, depending on its place in a general reduction sequence... primary reduction may be equated exclusively with what may be defined as primary core reduction"" and ""To avoid the problem of distinguishing primary and secondary reduction, in relation to off-site reduction process which are not directly represented in the assemblage, primarily and secondarily reduced artifacts were defined in relation to a less specific reduction model. The producer artifacts derived from primary core reduction were distinguished by the distribution of negative flake scars, the presence of multiple platforms and the general absence of positive scars. The presence of the latter was in some cases discounted, allowing large flakes with sufficient other traits to be classed as cores, The resulting class of artifacts is in practice comparable to the conventional core classification (and includes artifacts which might be normally classified as 'steep-edged scrapers' or 'core tools').",na,broad,no,explicit,explicit,no,explicit,typological,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,118,rotated (multiplatform) core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,115-117,secondary core,yes,subcategory,"""In principle all chipped stone reduction is the removal of flakes from a core and may be defined as primary, secondary or tertiary etcetera, depending on its place in a general reduction sequence. While primary reduction may be equated exclusively with what may be defined as primary core reduction, secondary can not, if a strict reduction hierarchy is followed, be necessarily equated with retouched flake categories, as the use of large flakes as sources for smaller flakes (ie., secondary reduction in the strict ordering) may be consistent feature of core working in some assemblages"" and ""Secondary modification is defined by the presence of small scalar flaking on the margins of flakes and other non-flake material. The former constitute the conventional retouched flake category while the non-flake material incorporates 'flaked pieces' and indeterminate core platform fragments. While this appears to allow for a high percentage of arbitrary assignments into one or other division, in practice the separation in the Ingaladdi assemblage is well marked between flakes which were classified as cores (ie:, primary reduction) and those defined as secondarily retouched.""",na,broad,no,explicit,explicit,no,explicit,typological,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,118,unrotated (single platform) core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,Northern Territory,
"Cundy, B.J. 1990 An analysis of the Ingaladdi assemblage : a critique of the understanding of lithic technology. PhD, Canberra, Australian National University.",thesis_phd,1990,108,core,yes,category,"""those that produce flakes""",na,broad,no,explicit,no,no,no,typological,Northern Territory,
"David, B. 1987 Chillagoe : from archaeology to prehistory - contributions to a Late Holocene prehistory of the Chillagoe region, north Queensland. Masters, Canberra, Australian National University.",thesis_masters,1987,55,modified core or chopper,yes,subcategory,"""being either: a) a core with edge modification, as illustrated by Hayden (1979), or b) an axe-head.""","Hayden, B. 1979 Palaeolithic reflections: lithic technology and ethnographic excavation among Australian Aborigines. Australian Institute of Aboriginal Studies.",na,no,explicit,no,no,explicit,typological,Queensland,
"David, B. 1987 Chillagoe : from archaeology to prehistory - contributions to a Late Holocene prehistory of the Chillagoe region, north Queensland. Masters, Canberra, Australian National University.",thesis_masters,1987,55,primary core,yes,subcategory,"""defined as any lithic from which a flake has been struck off, and showing no evidence of subsequent modification. A primary core should exhibit both flake scars and one or more striking platforms. The function of a primary core is here deemed to be concerned with the manufacture of stone tools.""",na,broad,no,explicit,no,no,explicit,typological,Queensland,
"David, B. and H. Lourandos 1997 37,000 years and more in tropical Australia: investigating long-term archaeological trends in Cape York Peninsula. Proceedings of the Prehistoric Society 63:1–23.",paper,1997,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"David, B. and H. Lourandos 1999 Landscape as mind: land use, cultural space and change in north Queensland prehistory. Quaternary International 59(1):107–123.",paper,1999,na,prismatic core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"David, B. and J. Thomas 2016 When a Stone Tool Is a Dingo: Country and Relatedness in Australian Aboriginal Notions of Landscape. pp.633–637. Handbook of Landscape Archaeology. Routledge.",chapter,2016,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"David, B. and M. Weisler 2006 Kurturniaiwak (Badu) and the archaeology of villages in Torres Strait. Australian Archaeology 63(1):21–34.",paper,2006,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"David, B. and M. Weisler 2006 Kurturniaiwak (Badu) and the Archaeology of Villages in Torres Strait. Australian Archaeology 63(1):21–34.",paper,2006,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"David, B., I. McNiven, J. Flood, and R. Frost 1990 Yiwarlarlay 1: archaeological excavations at the Lightning Brothers site, Delamere station, Northern Territory. Archaeology in Oceania 25(2):79–84.",paper,1990,na,core,no,category,na,na,na,na,na,na,na,na,na,Northern Territory,
"David, B., I. McNiven, J. Flood, V. Attenbro, and R. Frost 1990 The Lightning Brothers Project: The 1988 And 1989 Field Seasons. Australian Archaeology 31(1):86–91.",paper,1990,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"David, B., I. McNiven, R. Mitchell, M. Orr, S. Haberle, L. Brady, and J. Crouch 2004 Badu 15 and the Papuan-Austronesian settlement of Torres Strait. Archaeology in Oceania 39(2):65–78.",paper,2004,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"David, B., J. Collins, B. Barker, J. Flood, and R. Gunn 1995 Archaeological research in Wardaman country, Northern Territory: The Lightning Brothers Project 1990–91 field seasons. Australian Archaeology 41(1):1–8.",paper,1995,na,blade core,na,subcategory,na,na,na,na,na,na,na,na,na,Northern Territory,
"David, B., J. Fresløv, R. Mullett, J.-J. Delannoy, M. McDowell, C. Urwin, J. Mialanes, F. Petchey, R. Wood, L. Russell, L.J. Arnold, B. Stephenson, R. Fullagar, J. Crouch, J. Ash, J. Berthet, V.N.L. Wong, and H. Green 2021 50 years and worlds apart: Rethinking the Holocene occupation of Cloggs Cave (East Gippsland, SE Australia) five decades after its initial archaeological excavation and in light of GunaiKurnai world views. Australian Archaeology 87(1):1–20.",paper,2021,na,core tool,na,subcategory,na,na,na,na,na,na,na,na,na,Victoria,
"David, B., J.-J. Delannoy, J. Mialanes, C. Clarkson, F. Petchey, J.-M. Geneste, T. Manne, M.I. Bird, B. Barker, T. Richards, E. Chalmin, and G. Castets 2019 45,610–52,160 years of site and landscape occupation at Nawarla Gabarnmang, Arnhem Land plateau (northern Australia). Quaternary Science Reviews 215:64–85.",paper,2019,SI12,core,yes,category,"""being a piece of stone containing one or more platforms from which flakes were removed, leaving flake scars.""",na,broad,no,no,no,no,explicit,typological,Northern Territory,
"David, B., J.-J. Delannoy, J. Mialanes, C. Clarkson, F. Petchey, J.-M. Geneste, T. Manne, M.I. Bird, B. Barker, T. Richards, E. Chalmin, and G. Castets 2019 45,610–52,160 years of site and landscape occupation at Nawarla Gabarnmang, Arnhem Land plateau (northern Australia). Quaternary Science Reviews 215:64–85.",paper,2019,SI12,flaked piece,yes,category,"""being a stone exhibiting definite evidence of human modification in the form of flake scars only""",na,broad,no,no,no,no,explicit,typological,Northern Territory,
"Davidson, D.S. 1935 Archaeological problems of northern Australia. The Journal of the Royal Anthropological Institute of Great Britain 65:145–183.",paper,1935,na,na,na,na,na,na,na,na,na,na,na,na,na,Northern Territory,
"Davidson, D.S. and F.D. McCarthy 1957 The Distribution and Chronology of Some Important Types of Stone Implements in Western Australia. Anthropos 52(3/4):390–458.",paper,1957,422,handaxe,yes,subcategory,"""Hand-axes include both core and knapped implements. Some types are made to pattern. Others may be natural stones selected for size and shape. Smooth river pebbles may be fractured to provide a simple edge, and irregular chunks may be flaked and retouched to the desired form. But also ineludible in the category of hand-axes are edge-ground, pecked and polished stone axe-heads if they are employed as hand tools.""",na,na,no,explicit,explicit,explicit,explicit,typological,Western Australia,
"Davidson, D.S. and F.D. McCarthy 1957 The Distribution and Chronology of Some Important Types of Stone Implements in Western Australia. Anthropos 52(3/4):390–458.",paper,1957,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Davidson, D.S. and F.D. McCarthy 1957 The Distribution and Chronology of Some Important Types of Stone Implements in Western Australia. Anthropos 52(3/4):390–458.",paper,1957,na,uniface pebble implement,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Davidson, D.S. and F.D. McCarthy 1957 The Distribution and Chronology of Some Important Types of Stone Implements in Western Australia. Anthropos 52(3/4):390–458.",paper,1957,na,worimi chopper,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Davidson, D.S. and F.D. McCarthy 1957 The Distribution and Chronology of Some Important Types of Stone Implements in Western Australia. Anthropos 52(3/4):390–458.",paper,1957,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Davidson, I. 1983 On the Edge of the Simpson: Recent Additions to Understanding of Prehistoric Artefact Distributions in Arid Australia. Australian Archaeology (17):27–37.",paper,1983,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Davies, B. 2016 Logic and Landscapes: Simulating Surface Archaeological Record Formation in Western New South Wales, Australia. PhD, Auckland, University of Auckland.",thesis_phd,2016,139,core,yes,category,"""Cores are the remnants from nodules of stone with negative scars from the flakes removed, and have no ventral surface. Cores or flakes might be converted into many different forms through retouch."" Additionally cites Holdaway and Stern (2004) for categories.","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",narrow,no,no,no,no,explicit,materialist,New South Wales,"no explicit discussion having a functional component, but Holdaway and Stern consider it"
"Davies, B. 2016 Logic and Landscapes: Simulating Surface Archaeological Record Formation in Western New South Wales, Australia. PhD, Auckland, University of Auckland.",thesis_phd,2016,na,worked core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. 2016 Logic and Landscapes: Simulating Surface Archaeological Record Formation in Western New South Wales, Australia. PhD, Auckland, University of Auckland.",thesis_phd,2016,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. 2016 Logic and Landscapes: Simulating Surface Archaeological Record Formation in Western New South Wales, Australia. PhD, Auckland, University of Auckland.",thesis_phd,2016,na,chopper,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,complete bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,chopper,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,unmodified core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B. and S. Holdaway 2017 Windows on the Past? Perspectives on Accumulation, Formation, and Significance from an Australian Holocene Lithic Landscape. Mitteilungen der Gesellschaft für Urgeschichte 26:125–152.",paper,2017,na,core with no retouch,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B., M. Douglass, P.C. Fanning, and S.J. Holdaway 2021 Resilience and reversibility: Engaging with archaeological record formation to inform on past resilience. Archaeological Review from Cambridge 36:51–74.",paper,2021,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B., S.J. Holdaway, and P.C. Fanning 2016 Modelling the palimpsest: An exploratory agent-based model of surface archaeological deposit formation in a fluvial arid Australian landscape. The Holocene 26(3):450–463.",paper,2016,na,unretouched core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Davies, B., S.J. Holdaway, and P.C. Fanning 2018 Modeling relationships between space, movement, and lithic geometric attributes. American Antiquity 83(3):444–461.",paper,2018,3,core,yes,category,"""Cores are the remnants of reduced nodules of stone, with negative scars from the  flakes previously removed. Cores or flakes might be converted into tools through retouch.""",na,narrow,no,explicit,no,no,explicit,typological,New South Wales,
"Dearling, C. 2002 From Mumbulla : Aboriginal exploitation of the Bega Valley in recent prehistory. Masters, Canberra, Australian National University.",thesis_masters,2002,83,core,yes,category,"""A piece of stone that has at least one negative flake scar and point of initiation (platform). It has no positive scars on any surface.""",na,narrow,no,no,no,no,explicit,materialist,New South Wales,
"Dearling, C. 2002 From Mumbulla : Aboriginal exploitation of the Bega Valley in recent prehistory. Masters, Canberra, Australian National University.",thesis_masters,2002,83,blade core,yes,subcategory,"""Similar to a core except that the majority of flake scars have attributes similar to a blade.""",na,na,no,no,no,no,explicit,materialist,New South Wales,
"Di Fazio, B. and A. Roberts 2001 Stone Artefacts From The Beltana Region, South Australia. Australian Archaeology 52(1):47–49.",paper,2001,na,core,no,category,na,na,na,na,na,na,na,na,na,South Australia,
"Di Fazio, B. and A. Roberts 2001 Stone Artefacts From The Beltana Region, South Australia. Australian Archaeology 52(1):47–49.",paper,2001,na,chopper,no,subcategory,na,na,na,na,na,na,na,na,na,South Australia,
"Dickson, F.P. 1973 Backed Blades and Points. Mankind 9(1):7–14.",paper,1973,na,polygonal core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Dickson, F.P. 1973 Backed Blades and Points. Mankind 9(1):7–14.",paper,1973,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Ditchfield, K. 2011 Stone artefact transport and human movement in Pleistocene south-western Tasmania. Masters, Auckland, University of Auckland.",thesis_masters,2011,19,core,yes,category,"""An objective piece from which flakes are struck. Cores are characterised by a continuous dorsal surface which consists of negative flake scars and/or cortex.""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",narrow,no,no,no,no,explicit,materialist,Tasmania,
"Ditchfield, K. 2016 An experimental approach to distinguishing different stone artefact transport patterns from debitage assemblages. Journal of Archaeological Science 65:44–56.",paper,2016,na,core,no,category,na,na,na,na,na,na,na,na,na,global,
"Ditchfield, K. 2016 An experimental approach to distinguishing different stone artefact transport patterns from debitage assemblages. Journal of Archaeological Science 65:44–56.",paper,2016,na,core-tool,no,subcategory,na,na,na,na,na,na,na,na,na,global,
"Ditchfield, K. 2016 The influence of raw material size on stone artefact assemblage formation: An example from Bone Cave, south-western Tasmania. Quaternary International 422:29–43.",paper,2016,na,core,no,category,na,na,na,na,na,na,na,na,na,Tasmania,
"Ditchfield, K. 2016 The influence of raw material size on stone artefact assemblage formation: An example from Bone Cave, south-western Tasmania. Quaternary International 422:29–43.",paper,2016,na,core fragment,no,subcategory,na,na,na,na,na,na,na,na,na,Tasmania,
"Ditchfield, K. 2017 Pleistocene-Holocene coastal mobility patterns in the Carnarvon Bioregion, north-western Australia. PhD, Perth, The University of Western Australia.",thesis_phd,2017,313,core,yes,category,"""Any stone artefact that possesses a continuous dorsal surface marked by flake scars and cortex""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",narrow,no,no,no,no,explicit,materialist,Western Australia,
"Ditchfield, K. and I. Ward 2019 Local lithic landscapes and local source complexity: Developing a new database for geological sourcing of archaeological stone artefacts in North-Western Australia. Journal of Archaeological Science: Reports 24:539–555.",paper,2019,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,flake-core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,core fragment,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,single platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Ditchfield, K. and W. Reynen 2022 Extracting new information from old stones: An analysis of three quarries in the semi-arid Pilbara region, northwest Australia. Australian Archaeology 88(3):282–298.",paper,2022,na,multi-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
